Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,
2021-01-04,729.77001953125,729.77001953125,744.489990234375,717.1900024414062,719.4600219726562,48638200
2021-01-05,735.1099853515625,735.1099853515625,740.8400268554688,719.2000122070312,723.6599731445312,32245200
2021-01-06,755.97998046875,755.97998046875,774.0,749.0999755859375,758.489990234375,44700000
2021-01-07,816.0399780273438,816.0399780273438,816.989990234375,775.2000122070312,777.6300048828125,51498900
2021-01-08,880.02001953125,880.02001953125,884.489990234375,838.3900146484375,856.0,75055500
2021-01-11,811.1900024414062,811.1900024414062,854.4299926757812,803.6199951171875,849.4000244140625,59301600
2021-01-12,849.4400024414062,849.4400024414062,868.0,827.3400268554688,831.0,46270700
2021-01-13,854.4099731445312,854.4099731445312,860.469970703125,832.0,852.760009765625,33312500
2021-01-14,845.0,845.0,863.0,838.75,843.3900146484375,31266300
2021-01-15,826.1599731445312,826.1599731445312,859.9000244140625,819.0999755859375,852.0,38777600
2021-01-19,844.5499877929688,844.5499877929688,850.0,833.0,837.7999877929688,25367000
2021-01-20,850.4500122070312,850.4500122070312,859.5,837.280029296875,858.739990234375,25665900
2021-01-21,844.989990234375,844.989990234375,855.719970703125,841.4199829101562,855.0,20521100
2021-01-22,846.6400146484375,846.6400146484375,848.0,828.6199951171875,834.3099975585938,20066500
2021-01-25,880.7999877929688,880.7999877929688,900.4000244140625,838.8200073242188,855.0,41173400
2021-01-26,883.0900268554688,883.0900268554688,895.9000244140625,871.5999755859375,891.3800048828125,23131600
2021-01-27,864.1599731445312,864.1599731445312,891.5,858.6599731445312,870.3499755859375,27334000
2021-01-28,835.4299926757812,835.4299926757812,848.0,801.0,820.0,26378000
2021-01-29,793.530029296875,793.530029296875,842.4099731445312,780.0999755859375,830.0,34990800
2021-02-01,839.8099975585938,839.8099975585938,842.0,795.5599975585938,814.2899780273438,25391400
2021-02-02,872.7899780273438,872.7899780273438,880.5,842.2000122070312,844.6799926757812,24346200
2021-02-03,854.6900024414062,854.6900024414062,878.0800170898438,853.0599975585938,877.02001953125,18343500
2021-02-04,849.989990234375,849.989990234375,856.5,833.4199829101562,855.0,15812700
2021-02-05,852.22998046875,852.22998046875,864.77001953125,838.969970703125,845.0,18566600
2021-02-08,863.4199829101562,863.4199829101562,877.77001953125,854.75,869.6699829101562,20161700
2021-02-09,849.4600219726562,849.4600219726562,859.7999877929688,841.75,855.1199951171875,15157700
2021-02-10,804.8200073242188,804.8200073242188,844.8200073242188,800.02001953125,843.6400146484375,36216100
2021-02-11,811.6599731445312,811.6599731445312,829.8800048828125,801.72998046875,812.4400024414062,21622800
2021-02-12,816.1199951171875,816.1199951171875,817.3300170898438,785.3300170898438,801.260009765625,23768300
2021-02-16,796.219970703125,796.219970703125,821.0,792.4400024414062,818.0,19802300
2021-02-17,798.1500244140625,798.1500244140625,799.8400268554688,762.010009765625,779.0900268554688,25996500
2021-02-18,787.3800048828125,787.3800048828125,794.6900024414062,776.27001953125,780.9000244140625,17957100
2021-02-19,781.2999877929688,781.2999877929688,796.7899780273438,777.3699951171875,795.0,18958300
2021-02-22,714.5,714.5,768.5,710.2000122070312,762.6400146484375,37269700
2021-02-23,698.8400268554688,698.8400268554688,713.6099853515625,619.0,662.1300048828125,66606900
2021-02-24,742.02001953125,742.02001953125,745.0,694.1699829101562,711.8499755859375,36767000
2021-02-25,682.219970703125,682.219970703125,737.2100219726562,670.5800170898438,726.1500244140625,39023900
2021-02-26,675.5,675.5,706.7000122070312,659.510009765625,700.0,41089200
2021-03-01,718.4299926757812,718.4299926757812,719.0,685.0499877929688,690.1099853515625,27136200
2021-03-02,686.4400024414062,686.4400024414062,721.1099853515625,685.0,718.280029296875,23732200
2021-03-03,653.2000122070312,653.2000122070312,700.7000122070312,651.7100219726562,687.989990234375,30208000
2021-03-04,621.4400024414062,621.4400024414062,668.4500122070312,600.0,655.7999877929688,65919500
2021-03-05,597.9500122070312,597.9500122070312,627.8400268554688,539.489990234375,626.0599975585938,89396500
2021-03-08,563.0,563.0,620.1300048828125,558.7899780273438,600.5499877929688,51787000
2021-03-09,673.5800170898438,673.5800170898438,678.0900268554688,595.2100219726562,608.1799926757812,67523300
2021-03-10,668.0599975585938,668.0599975585938,717.8499755859375,655.0599975585938,700.2999877929688,60605700
2021-03-11,699.5999755859375,699.5999755859375,702.5,677.1799926757812,699.4000244140625,36253900
2021-03-12,693.72998046875,693.72998046875,694.8800048828125,666.1400146484375,670.0,33583800
2021-03-15,707.9400024414062,707.9400024414062,713.1799926757812,684.0399780273438,694.0900268554688,29335600
2021-03-16,676.8800048828125,676.8800048828125,707.9199829101562,671.0,703.3499755859375,32195700
2021-03-17,701.8099975585938,701.8099975585938,703.72998046875,651.010009765625,656.8699951171875,40372500
2021-03-18,653.1599731445312,653.1599731445312,689.22998046875,652.0,684.2899780273438,33224800
2021-03-19,654.8699951171875,654.8699951171875,657.22998046875,624.6199951171875,646.5999755859375,42894000
2021-03-22,670.0,670.0,699.6199951171875,668.75,684.5900268554688,39512200
2021-03-23,662.1599731445312,662.1599731445312,677.7999877929688,657.510009765625,675.77001953125,30491900
2021-03-24,630.27001953125,630.27001953125,668.02001953125,630.1099853515625,667.9099731445312,33795200
2021-03-25,640.3900146484375,640.3900146484375,645.5,609.5,613.0,39224900
2021-03-26,618.7100219726562,618.7100219726562,643.8200073242188,599.8900146484375,641.8699951171875,33852800
2021-03-29,611.2899780273438,611.2899780273438,616.47998046875,596.02001953125,615.6400146484375,28637000
2021-03-30,635.6199951171875,635.6199951171875,637.6599731445312,591.010009765625,601.75,39432400
2021-03-31,667.9299926757812,667.9299926757812,672.0,641.1099853515625,646.6199951171875,33337300
2021-04-01,661.75,661.75,692.4199829101562,659.4199829101562,688.3699951171875,35298400
2021-04-05,691.0499877929688,691.0499877929688,708.1599731445312,684.7000122070312,707.7100219726562,41842800
2021-04-06,691.6199951171875,691.6199951171875,696.5499877929688,681.3699951171875,690.2999877929688,28271800
